category	kaomoji	description
(ﾉ≧∀≦)ﾉ	Music	
♪ヽ(^^ヽ)♪	Music	
♪(/_ _ )/♪	Music	
♪♬((d⌒ω⌒b))♬♪	Music	
└(￣-￣└))	Music	
((┘￣ω￣)┘	Music	
√(￣‥￣√)	Music	
└(＾＾)┐	Music	
┌(＾＾)┘	Music	
＼(￣▽￣)＼	Music	
／(￣▽￣)／	Music	
(￣▽￣)/♫•*¨*•.¸¸♪	Music	
(^_^♪)	Music	
(~˘▽˘)~	Music	
~(˘▽˘~)	Music	
ヾ(⌐■_■)ノ♪	Music	
(〜￣△￣)〜	Music	
(~‾▽‾)~	Music	
~(˘▽˘)~	Music	
乁( • ω •乁)	Music	
(｢• ω •)｢	Music	
⁽⁽◝( • ω • )◜⁾⁾	Music	
✺◟( • ω • )◞✺	Music	
♬♫♪◖(● o ●)◗♪♫♬	Music	
( ˘ ɜ˘) ♬♪♫	Music	
♪♪♪ ヽ(ˇ∀ˇ )ゞ	Music	
(ˇ▽ˇ)ノ♪♬♫	Music	
( ^^)p_____|_o____q(^^ )	Games	
(／o^)/ °⊥ ＼(^o＼)	Games	
!(;ﾟoﾟ)o/￣￣￣￣￣￣￣~ >ﾟ))))彡	Games	
ヽ(^o^)ρ┳┻┳°σ(^o^)ノ	Games	
(／_^)／　　●　＼(^_＼)	Games	
"( (≡|≡))_／ ＼_((≡|≡) )"	Games	
( ノ-_-)ノﾞ_□ VS □_ヾ(^-^ヽ)	Games	
ヽ(；^ ^)ノﾞ ．．．...___〇	Games	
(=O*_*)=O Q(*_*Q)	Games	
Ю　○三　＼(￣^￣＼)	Games	
(˙ω˙)🎮(˙∀˙)🎮	Games	
( ͡° ͜ʖ ͡°)	Faces	
( ͡° ʖ̯ ͡°)	Faces	
( ͠° ͟ʖ ͡°)	Faces	
( ͡ᵔ ͜ʖ ͡ᵔ)	Faces	
( . •́ _ʖ •̀ .)	Faces	
( ఠ ͟ʖ ఠ)	Faces	
( ͡ಠ ʖ̯ ͡ಠ)	Faces	
( ಠ ʖ̯ ಠ)	Faces	
( ಠ ͜ʖ ಠ)	Faces	
( ಥ ʖ̯ ಥ)	Faces	
( ͡• ͜ʖ ͡• )	Faces	
( ･ิ ͜ʖ ･ิ)	Faces	
( ͡  ͜ʖ ͡  )	Faces	
(≖ ͜ʖ≖)	Faces	
(ʘ ʖ̯ ʘ)	Faces	
(ʘ ͟ʖ ʘ)	Faces	
(ʘ ͜ʖ ʘ)	Faces	
(;´༎ຶٹ༎ຶ`)	Faces	
٩(ˊ〇ˋ*)و	Special	waking up
(￣^￣)ゞ	Special	military salutation
(－‸ლ)	Special	facepalm
(╯°益°)╯彡┻━┻	Special	throwing table in anger
(╮°-°)╮┳━━┳ ( ╯°□°)╯ ┻━━┻	Special	taking table and going mad
┬─┬ノ( º _ ºノ)	Special	putting table back
(oT-T)尸	Special	surrender
( ͡° ͜ʖ ͡°)	Special	meme / Lenny face
[̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅]	Special	money
(ಠ_ಠ)	Special	meme / look of disapproval
౦０o ｡ (‾́。‾́ )y~~	Special	smoking
(￣﹃￣)	Special	hungry
(x(x_(x_x(O_o)x_x)_x)x)	Special	alive among zombies
(　･ω･)☞	Special	pointing
(⌐■_■)	Special	with glasses
(◕‿◕✿)	Special	cute face
(　￣.)o-　　【　TV　】	Special	watching TV
｀、ヽ｀ヽ｀、ヽ(ノ＞＜)ノ ｀、ヽ｀☂ヽ｀、ヽ	Special	catching umbrella in the rain
‿︵‿︵‿︵‿ヽ(°□° )ノ︵‿︵‿︵‿︵	Special	drowning
( • )( • )ԅ(≖‿≖ԅ)	Special	emm... try to figure out what he's doing
( ＾▽＾)っ✂╰⋃╯	Special	punishment for cheating
〜〜(／￣▽)／　〜ф	Special	chasing a butterfly
ଘ(੭ˊᵕˋ)੭* ੈ✩‧₊˚	Special	angel
ଘ(੭ˊ꒳​ˋ)੭✧	Special	one more angel
_(:3 」∠)_	Special	popular lying emoticon
∠( ᐛ 」∠)_	Special	another lying emoticon
